"baseER","baseSTAS","endsuc","endsuc10","endsuc90","freqsuc","freq10","freq50","freq90","trajmean","traj10","traj50","traj90","trajprop","trajpop10","trajpop90","fros.median","traj.median","fros.mean","traj.mean"
0,0.003,0,0,0,0.02,0,0,0.1,-50,-62,-51,-38,0,0,0,"0 (0, 0.1)","-51 (-62, -38)","0.02 (0, 0.1)","-50 (-62, -38)"
0,0.007,0.04,0.03,0.05,0.1,0,0.1,0.2,-34,-51,-35,-17,0.02,0.01,0.02,"0.1 (0, 0.2)","-35 (-51, -17)","0.1 (0, 0.2)","-34 (-51, -17)"
0,0.01,0.16,0.14,0.17,0.22,0,0.1,0.6,-26,-45,-28,-4,0.07,0.06,0.08,"0.1 (0, 0.6)","-28 (-45, -4)","0.22 (0, 0.6)","-26 (-45, -4)"
0,0.016,0.41,0.39,0.43,0.46,0.1,0.4,1,-14,-38,-18,11,0.2,0.18,0.21,"0.4 (0.1, 1)","-18 (-38, 11)","0.46 (0.1, 1)","-14 (-38, 11)"
0,0.021,0.53,0.51,0.55,0.58,0.1,0.6,1,-7,-32,-12,19,0.3,0.28,0.31,"0.6 (0.1, 1)","-12 (-32, 19)","0.58 (0.1, 1)","-7 (-32, 19)"
0,0.04,0.73,0.71,0.75,0.78,0.2,1,1,7,-23,0,41,0.5,0.48,0.52,"1 (0.2, 1)","0 (-23, 41)","0.78 (0.2, 1)","7 (-23, 41)"
0.03,0.003,0,0,0,0.01,0,0,0.1,-53,-64,-53,-40,0,0,0,"0 (0, 0.1)","-53 (-64, -40)","0.01 (0, 0.1)","-53 (-64, -40)"
0.03,0.007,0.02,0.02,0.03,0.08,0,0.1,0.2,-37,-54,-38,-20,0.01,0.01,0.02,"0.1 (0, 0.2)","-38 (-54, -20)","0.08 (0, 0.2)","-37 (-54, -20)"
0.03,0.01,0.12,0.11,0.13,0.18,0,0.1,0.5,-28,-47,-31,-9,0.05,0.04,0.06,"0.1 (0, 0.5)","-31 (-47, -9)","0.18 (0, 0.5)","-28 (-47, -9)"
0.03,0.016,0.36,0.34,0.37,0.42,0.1,0.3,1,-15,-40,-20,7,0.16,0.15,0.17,"0.3 (0.1, 1)","-20 (-40, 7)","0.42 (0.1, 1)","-15 (-40, 7)"
0.03,0.021,0.48,0.46,0.5,0.53,0.1,0.5,1,-11,-36,-14,16,0.26,0.24,0.27,"0.5 (0.1, 1)","-14 (-36, 16)","0.53 (0.1, 1)","-11 (-36, 16)"
0.03,0.04,0.69,0.67,0.71,0.74,0.2,0.9,1,5,-26,0,34,0.49,0.47,0.51,"0.9 (0.2, 1)","0 (-26, 34)","0.74 (0.2, 1)","5 (-26, 34)"
0.068,0.003,0,0,0,0.01,0,0,0,-56,-66,-56,-44,0,0,0,"0 (0, 0)","-56 (-66, -44)","0.01 (0, 0)","-56 (-66, -44)"
0.068,0.007,0.01,0.01,0.01,0.06,0,0,0.2,-40,-55,-41,-24,0.01,0,0.01,"0 (0, 0.2)","-41 (-55, -24)","0.06 (0, 0.2)","-40 (-55, -24)"
0.068,0.01,0.06,0.05,0.07,0.13,0,0.1,0.3,-32,-50,-34,-13,0.03,0.02,0.04,"0.1 (0, 0.3)","-34 (-50, -13)","0.13 (0, 0.3)","-32 (-50, -13)"
0.068,0.016,0.28,0.26,0.29,0.34,0,0.2,0.9,-21,-42,-23,2,0.12,0.1,0.13,"0.2 (0, 0.9)","-23 (-42, 2)","0.34 (0, 0.9)","-21 (-42, 2)"
0.068,0.021,0.42,0.4,0.44,0.48,0.1,0.4,1,-14,-38,-17,14,0.22,0.2,0.23,"0.4 (0.1, 1)","-17 (-38, 14)","0.48 (0.1, 1)","-14 (-38, 14)"
0.068,0.04,0.66,0.63,0.68,0.71,0.2,0.9,1,1,-27,-4,30,0.42,0.4,0.44,"0.9 (0.2, 1)","-4 (-27, 30)","0.71 (0.2, 1)","1 (-27, 30)"
0.125,0.003,0,0,0,0,0,0,0,-59,-69,-60,-49,0,0,0,"0 (0, 0)","-60 (-69, -49)","0 (0, 0)","-59 (-69, -49)"
0.125,0.007,0,0,0.01,0.04,0,0,0.1,-44,-59,-45,-29,0,0,0.01,"0 (0, 0.1)","-45 (-59, -29)","0.04 (0, 0.1)","-44 (-59, -29)"
